vessel_country_code,actual_year,count,mean_delay,row_num,country_name
PA,2018,2285072,3.8304359775096803,1,Panama
HK,2018,2044203,3.947496897323798,2,Hong Kong
LR,2018,1644255,3.766471137384408,3,Liberia
SG,2018,1141742,3.3536359352638336,4,Singapore
GB,2018,750008,4.480577540506235,5,United Kingdom
MT,2018,624120,5.548779080945972,6,Malta
MH,2018,507550,3.7073943453846914,7,Marshall Islands
US,2018,504634,3.3452938169049253,8,United States
DE,2018,463587,4.720803214930531,9,Germany
PT,2018,361178,3.683928699976189,10,Portugal
PA,2019,1984304,4.000099783097751,1,Panama
HK,2019,1783616,4.890134984211849,2,Hong Kong
LR,2019,1489873,4.110135561890175,3,Liberia
SG,2019,738541,3.268027096667619,4,Singapore
DE,2019,587951,5.005316769594745,5,Germany
GB,2019,487460,7.485422393632298,6,United Kingdom
MH,2019,471485,3.913360976489178,7,Marshall Islands
MT,2019,464643,3.4242719679409785,8,Malta
US,2019,418882,3.0053427934358603,9,United States
DK,2019,267915,3.7979433775637794,10,Denmark
PA,2020,1548220,3.4279837490795884,1,Panama
HK,2020,1376385,3.697580982065338,2,Hong Kong
LR,2020,1215065,4.03163781361491,3,Liberia
SG,2020,555548,3.184678911633198,4,Singapore
MT,2020,509168,3.902971121515885,5,Malta
DE,2020,423487,5.402302786154002,6,Germany
GB,2020,375027,5.470454127302834,7,United Kingdom
US,2020,362562,3.0796112113238565,8,United States
MH,2020,321984,4.93081022659511,9,Marshall Islands
DK,2020,267552,3.1468013694534145,10,Denmark
