shipper_party_name,actual_year,count,mean_delay,row_num
SCHAEFFLER TECH GMBH AND CO KG,2018,58,125.10344827586206,1
BECTON DICKINSON DE MEXICO SA DE CV,2018,1003,99.89232303090728,2
EICHHOLTZ B.V.,2018,264,98.10606060606061,3
XBK KABEL,2018,52,92.09615384615384,4
GE JENBACHER GMBH & CO OG,2018,92,82.1086956521739,5
U.I. LAPP GMBH,2018,108,76.94444444444444,6
NEDMAG B.V.,2018,85,72.7764705882353,7
DR. OTTO SUWELACK,2018,74,68.97297297297297,8
HAHNEMUEHLE FINEART GMBH,2018,115,66.14782608695653,9
BRAVILOR BONAMAT BV,2018,63,64.44444444444444,10
NUOVA INDUSTRIA BISCOTTI CRICH SPA,2020,51,156.6078431372549,1
BRENNTAG SPA,2020,63,153.4920634920635,2
EBM PAPST MULFINGEN GMBH & CO.KG,2020,230,127.81304347826087,3
B.S. SERVICE S.R.L.,2020,55,121.83636363636364,4
JIANGSU GUOTAI HUASHENG INDUSTRIAL,2020,211,121.42654028436019,5
EBM-PAPST ST. GEORGEN GMBH & CO. K,2020,177,116.67231638418079,6
KAY & EMMS (PVT) LTD.,2020,86,115.54651162790698,7
SIGNODE INDIA LIMITED,2020,57,108.45614035087719,8
BRIDOR,2020,198,100.28787878787878,9
ORODJA ERHART DOO,2020,101,99.95049504950495,10
COLOR STAR FUZHOU PRODUCTS CO,2019,52,176.25,1
KEIN HING INDUSTRY SDN BHD,2019,160,169.45625,2
FOSSIL ASIA PACIFIC LIMITED,2019,54,168.55555555555554,3
FAG ARTIGRAFICHE SPA,2019,71,156.08450704225353,4
ADIENT COMPONENTS LTD. & CO. KG,2019,99,150.02020202020202,5
XIAMEN LOMAX IND,2019,82,139.7439024390244,6
HANGZHOU REFINE IMPORT EXPORT CO,2019,74,135.44594594594594,7
ORIENTAL INTERNATIONAL TRADE CO LT,2019,50,133.52,8
H-D MOTOR COMPANY INDIA PVT. LTD.,2019,73,127.5068493150685,9
"WENZHOU HOS GARMENT CO.,LTD",2019,106,127.33962264150944,10
