shipper_party_name,actual_year,count,mean_delay,row_num
"ORIENT EXPRESS CONTAINER CO., LTD.",2018,45613,2.8632188191962817,1
HONOUR LANE SHIPPING LIMITED,2018,26420,2.876003028009084,2
BEIJING KANG JIE KONG INTERNATIONAL,2018,24262,3.163424284889951,3
DE WELL CONTAINER SHIPPING INC.,2018,22813,2.7530355499057553,4
HECNY SHIPPING LIMITED,2018,20150,2.8774193548387097,5
TOPOCEAN CONSOLIDATION SERVICE,2018,15267,3.172659985589834,6
FEDEX INTERNATIONAL FREIGHT,2018,13795,4.180210221094599,7
BEIJING KANG-JIE-KONG INTERNATIONAL,2018,12868,3.483991296238732,8
TOLL GLOBAL FORWARDING (HONG KONG),2018,12111,2.8048055486747585,9
"PANTOS LOGISTICS CO.,LTD.",2018,11740,2.764565587734242,10
"ORIENT EXPRESS CONTAINER CO., LTD.",2020,27628,2.7639713334298537,1
WANG ZHANG JIANG,2020,23857,4.174120803118582,2
HONOUR LANE SHIPPING LIMITED,2020,22242,2.636048916464347,3
BEIJING KANG JIE KONG INTERNATIONAL,2020,17230,2.5605339524085897,4
HECNY SHIPPING LIMITED,2020,13403,2.665448034022234,5
DE WELL CONTAINER SHIPPING INC.,2020,11450,2.691004366812227,6
"PANTOS LOGISTICS CO.,LTD.",2020,10597,2.7228460885156176,7
KUEHNE + NAGEL (AG & CO.) KG,2020,9202,2.947946098674201,8
XYLEM EUROPE GMBH,2020,9184,16.876742160278745,9
TOPOCEAN CONSOLIDATION SERVICE,2020,8985,2.9371174179187536,10
"ORIENT EXPRESS CONTAINER CO., LTD.",2019,34671,2.6954515300971993,1
HONOUR LANE SHIPPING LIMITED,2019,24317,2.771106633219558,2
BEIJING KANG JIE KONG INTERNATIONAL,2019,17672,2.7825373472159347,3
HECNY SHIPPING LIMITED,2019,15147,2.678088070244933,4
DE WELL CONTAINER SHIPPING INC.,2019,13429,2.784645170898801,5
"PANTOS LOGISTICS CO.,LTD.",2019,12198,2.46827348745696,6
FEDEX INTERNATIONAL FREIGHT,2019,11700,3.718034188034188,7
TOPOCEAN CONSOLIDATION SERVICE,2019,11459,3.1039357710096867,8
SAMPLE KING MANUFACTURING LTD,2019,10918,2.0439640959882763,9
"DHL GLOBAL FORWARDING (CHINA) CO.,",2019,10170,2.4444444444444446,10
