vessel_country_code,actual_year,count,mean_delay,row_num,country_name
PA,2018,1206665,-1.2415641458068312,1,Panama
LR,2018,1082170,-1.2312917563783878,2,Liberia
SG,2018,1068119,-0.8801631653401915,3,Singapore
HK,2018,816727,-1.1479637626771246,4,Hong Kong
GB,2018,784059,-0.9090591396820903,5,United Kingdom
US,2018,575490,-0.815392100644668,6,United States
DK,2018,322813,-0.9319668043108549,7,Denmark
MT,2018,289335,-0.8505020132372509,8,Malta
PT,2018,278336,-1.8636755575994481,9,Portugal
MH,2018,253776,-1.07322205409495,10,Marshall Islands
LR,2019,1449513,-1.0400810479105742,1,Liberia
PA,2019,1278096,-1.1025681951903457,2,Panama
HK,2019,1093802,-0.7045607888813514,3,Hong Kong
SG,2019,902103,-0.6720407758315846,4,Singapore
US,2019,652745,-0.607871373966863,5,United States
GB,2019,564290,-0.7020131492672208,6,United Kingdom
MT,2019,481061,-0.5930827899164555,7,Malta
DK,2019,381909,-0.5256880565789233,8,Denmark
DE,2019,363757,-1.142974568187004,9,Germany
PT,2019,298478,-0.9312110105267389,10,Portugal
LR,2020,1065790,-0.8346991433584477,1,Liberia
PA,2020,818006,-1.3897061879741714,2,Panama
HK,2020,783717,-1.2280708470021704,3,Hong Kong
SG,2020,553075,-0.5679500971839262,4,Singapore
US,2020,529167,-0.8272473529150532,5,United States
GB,2020,479244,-0.6304158215856641,6,United Kingdom
MT,2020,445541,-0.6067275514486882,7,Malta
DE,2020,271753,-1.0184101003484782,8,Germany
DK,2020,256229,-0.4993658016852113,9,Denmark
MH,2020,245310,-0.5152337858220211,10,Marshall Islands
