vessel_country_code,actual_year,count,mean_delay,row_num,country_name
MZ,2018,51,-17.07843137254902,1,Mozambique
KY,2018,1183,-6.044801352493661,2,Cayman Islands
GE,2018,548,-5.521897810218978,3,Georgia
ML,2018,70,-5.228571428571429,4,Mali
NZ,2018,231,-4.956709956709957,5,New Zealand
CL,2018,79,-4.215189873417722,6,Chile
BH,2018,208,-4.081730769230769,7,Bahrain
ID,2018,133,-3.2330827067669174,8,Indonesia
AF,2018,600,-2.9033333333333333,9,Afghanistan
SA,2018,203,-2.87192118226601,10,Saudi Arabia
NZ,2019,565,-25.52212389380531,1,New Zealand
VN,2019,107,-24.88785046728972,2,Vietnam
CL,2019,122,-24.008196721311474,3,Chile
MX,2019,141,-8.375886524822695,4,Mexico
AF,2019,837,-6.6654719235364395,5,Afghanistan
SA,2019,669,-6.61136023916293,6,Saudi Arabia
NO,2019,5347,-4.518982607069384,7,Norway
MZ,2019,74,-3.8783783783783785,8,Mozambique
ID,2019,143,-3.7552447552447554,9,Indonesia
KR,2019,22421,-3.3711252843316535,10,South Korea
MZ,2020,50,-24.0,1,Mozambique
SA,2020,4828,-13.392709196354598,2,Saudi Arabia
LU,2020,296,-7.033783783783784,3,Luxembourg
SE,2020,162,-5.382716049382716,4,Sweden
GE,2020,1667,-3.7120575884823035,5,Georgia
BH,2020,51,-3.3333333333333335,6,Bahrain
LB,2020,1120,-2.7526785714285715,7,Lebanon
NO,2020,2727,-2.537220388705537,8,Norway
ZA,2020,82,-2.3292682926829267,9,South Africa
AS,2020,84,-2.261904761904762,10,
