shipper_party_name,actual_year,count,mean_delay,row_num
HONOUR LANE SHIPPING LIMITED,2018,19179,-0.18634965326659367,1
"ORIENT EXPRESS CONTAINER CO., LTD.",2018,18921,-0.20543311664288358,2
UNION DE BANANEROS ECUATORIANOS S.A,2018,14907,-0.1077346213188435,3
DE WELL CONTAINER SHIPPING INC.,2018,14538,-0.15676159031503645,4
HECNY SHIPPING LIMITED,2018,12785,-0.22385608134532656,5
TOPOCEAN CONSOLIDATION SERVICE,2018,12481,-0.2428491306786315,6
BEIJING KANG JIE KONG INTERNATIONAL,2018,12393,-0.29371419349632855,7
ROYAL CARIBBEAN CRUISES LTD.,2018,11359,-0.023857733955453826,8
CARNIVAL CRUISE LINE,2018,8810,-0.02814982973893303,9
NCL (BAHAMAS) LTD,2018,8195,-0.0012202562538133007,10
WANG ZHANG JIANG,2020,126208,-0.5597109533468559,1
FOREVER LOGISTICS SHENZHEN CO L,2020,50549,-0.7248412431502107,2
SHENZHEN GUANGCHI LOGISTICS CO LT,2020,41656,-0.5312560015363933,3
SHENZHEN GLOBAL LEADER SUPPLY CHAIN,2020,26010,-1.5977316416762783,4
HANGZHOU FAR INTERNATIONAL LOGISITI,2020,22204,-0.7559448747973339,5
"ORIENT EXPRESS CONTAINER CO., LTD.",2020,14748,-0.1277461350691619,6
HONOUR LANE SHIPPING LIMITED,2020,13520,-0.19770710059171598,7
UNION DE BANANEROS ECUATORIANOS S.A,2020,12041,-0.008471057221161033,8
KUEHNE + NAGEL (AG & CO.) KG,2020,11626,-0.412093583347669,9
BEIJING KANG JIE KONG INTERNATIONAL,2020,11256,-0.2260127931769723,10
HONOUR LANE SHIPPING LIMITED,2019,21131,-0.11282002744782547,1
"ORIENT EXPRESS CONTAINER CO., LTD.",2019,20950,-0.1083054892601432,2
UNION DE BANANEROS ECUATORIANOS S.A,2019,15591,-0.11647745494195369,3
SCHAEFFLER TECHNOLOGIES AG & CO. KG,2019,14759,-2.624026018022901,4
BEIJING KANG JIE KONG INTERNATIONAL,2019,14527,-0.2012803744751153,5
HECNY SHIPPING LIMITED,2019,13730,-0.10298616168973052,6
DE WELL CONTAINER SHIPPING INC.,2019,13247,-0.07209179436853627,7
ROYAL CARIBBEAN CRUISES LTD.,2019,12791,-0.02955202877022907,8
TOPOCEAN CONSOLIDATION SERVICE,2019,12047,-0.1395368141446003,9
"INTERNATIONAL AUTO LOGISTICS, LLC",2019,10383,-0.24174130790715592,10
