shipper_party_name,actual_year,count,mean_delay,row_num
DAALIMPEX BV,2018,91,-100.27472527472527,1
LIKEMEAT GMBH,2018,72,-89.16666666666667,2
CHAMAN LAL SETIA EXPORTS LTD,2018,71,-68.53521126760563,3
BYK NETHERLANDS B.V.,2018,278,-63.568345323741006,4
ZHEJIANG XINGXING REFRIGERATION CO.,2018,72,-63.05555555555556,5
POLYPLEX CORPORATION LTD,2018,120,-57.84166666666667,6
SIGMA-ALDRICH,2018,58,-53.10344827586207,7
ZIEHL-ABEGG DANMARK APS,2018,52,-48.53846153846154,8
TRUMPF MASCH.AUSTR.GMBH&COKG,2018,93,-47.376344086021504,9
BOBCAT COMPANY,2018,504,-42.41269841269841,10
"GUANGDONG DEHE TECHNOLOGY CO.,LTD",2020,81,-49.370370370370374,1
BOBCAT COMPANY,2020,72,-41.72222222222222,2
DATALOGIC VIETNAM LLC,2020,79,-34.924050632911396,3
SILGAN DISPENSING SYSTEMS MEXICO,2020,54,-34.870370370370374,4
PT. DAMAI ABADI,2020,52,-34.59615384615385,5
SEAL ELECTRONICS ASIA LTD.,2020,78,-34.55128205128205,6
AMROSIA GROUP LIMITED,2020,59,-34.49152542372882,7
RICHARDSON OILSEED PRODUCTS LIMITED,2020,119,-34.19327731092437,8
TORAY ADVANCED TEXTILE MEXICO S A,2020,54,-33.648148148148145,9
MEITU INTERNATIONAL TRADING LIMITED,2020,111,-33.585585585585584,10
JIHOSTROJ A S,2019,63,-61.38095238095238,1
SOMFY,2019,118,-60.80508474576271,2
MOVENTAS GEARS OY,2019,56,-56.0,3
PT. STAR CAMTEX,2019,52,-51.38461538461539,4
WALTHER TROWAL GMBH & CO. KG,2019,72,-50.666666666666664,5
AESTHETIC LIVING MERCHANTS PVT LTD,2019,54,-47.48148148148148,6
SONIC TEXTILE INDUSTRIES,2019,68,-44.9264705882353,7
OXFORD FROZEN FOODS LTD.,2019,88,-44.92045454545455,8
STANNAH STAIRLIFTS LTD,2019,92,-44.21739130434783,9
BOBCAT COMPANY,2019,375,-43.29066666666667,10
