shipper_party_name,count,mean_delay,% Total
WANG ZHANG JIANG,126208,-0.5597109533468559,0.7178170054629691
"ORIENT EXPRESS CONTAINER CO., LTD.",54619,-0.14720152327944488,0.310649459791629
HONOUR LANE SHIPPING LIMITED,53830,-0.16033810143042912,0.3061619659932146
FOREVER LOGISTICS SHENZHEN CO L,50549,-0.7248412431502107,0.2875010443802899
UNION DE BANANEROS ECUATORIANOS S.A,42539,-0.08284162768283222,0.24194359783364958
SHENZHEN GUANGCHI LOGISTICS CO LT,41656,-0.5312560015363933,0.2369214723279463
BEIJING KANG JIE KONG INTERNATIONAL,38176,-0.23857921207041072,0.21712872401554822
HECNY SHIPPING LIMITED,34304,-0.2711054104477612,0.19510644773232833
DE WELL CONTAINER SHIPPING INC.,34070,-0.2102729674200176,0.19377555603546018
SCHAEFFLER TECHNOLOGIES AG & CO. KG,31269,-3.3833829031948577,0.1778446686725214
TOPOCEAN CONSOLIDATION SERVICE,30453,-0.17249532065806325,0.17320361044754531
ROYAL CARIBBEAN CRUISES LTD.,28333,-0.043871104365933715,0.1611459591767741
SHENZHEN GLOBAL LEADER SUPPLY CHAIN,26010,-1.5977316416762783,0.14793373092111298
U.S.UNITED LOGISTICS (NINGBO) INC.,23156,-0.11746415615823112,0.13170140227640492
HANGZHOU FAR INTERNATIONAL LOGISITI,22204,-0.7559448747973339,0.12628683434726617
INTERGLOBO NORTH AMERICA INC.,20756,-0.24426671805742917,0.11805123102647526
"INTERNATIONAL AUTO LOGISTICS, LLC",20592,-0.7769036519036518,0.11711846932439672
"PANTOS LOGISTICS CO.,LTD.",20511,-0.13665837843108575,0.11665777604471159
FEDEX INTERNATIONAL FREIGHT,20486,-0.10226496143707899,0.11651558676085816
RS LOGISTICS LIMITED,20434,-0.10629343251443672,0.11621983305044302
KUEHNE + NAGEL (AG & CO.) KG,20319,-0.2860869137260692,0.11556576234471722
BEIJING CENTURY JOYO COURIER,20229,-0.06144643828167482,0.11505388092284485
NCL (BAHAMAS) LTD,20216,-0.011525524337158687,0.11497994249524107
