shipper_party_name,count,mean_delay,% Total
DAALIMPEX BV,137,-78.9051094890511,0.0007791972755168197
LIKEMEAT GMBH,83,-77.75903614457832,0.0004720684223934017
PERFETTI VAN MELLE GIDA SAN.,52,-72.21153846153847,0.0002957537104151432
FOSHAN NANHAI RONGJIA IMPORT & EXPO,67,-71.53731343283582,0.00038106728072720376
"KUNSHAN RED WOOD ENTERPRISE CO.,LT",51,-66.96078431372548,0.00029006613906100583
GEMORE TECHNOLOGY CO LTD,52,-59.05769230769231,0.0002957537104151432
AGRIGUM INTERNATIONAL LIMITED,59,-58.355932203389834,0.00033556670989410485
GRADCO JAPAN LTD.,51,-57.3921568627451,0.00029006613906100583
SOMFY,160,-56.975,0.0009100114166619791
ACCSYS TECHNOLOGIES,69,-51.31884057971015,0.00039244242343547853
JIHOSTROJ A S,162,-51.05555555555556,0.000921386559370254
GRACEFUL TEAM LIMITED,62,-50.564516129032256,0.0003526294239565169
"GUANGDONG DEHE TECHNOLOGY CO.,LTD",82,-48.80487804878049,0.0004663808510392643
PT. DONG YANG ILLUST INDONESIA,51,-48.78431372549019,0.00029006613906100583
ZIEHL-ABEGG DANMARK APS,52,-48.53846153846154,0.0002957537104151432
TRUMPF MASCH.AUSTR.GMBH&COKG,93,-47.376344086021504,0.0005289441359347754
FINEST INDUSTRIAL CO LTD,58,-46.87931034482759,0.0003298791385399674
MOVENTAS GEARS OY,67,-46.850746268656714,0.00038106728072720376
BYK NETHERLANDS B.V.,417,-45.09592326139089,0.002371717254675283
BOBCAT COMPANY,951,-42.706624605678236,0.005408880357784639
OXFORD FROZEN FOODS LTD.,239,-38.85355648535565,0.0013593295536388314
SIGMA-ALDRICH,83,-38.45783132530121,0.0004720684223934017
SMILAX PSYLLIUM IMPEX CO.,72,-36.65277777777778,0.0004095051374978907
HELLA AUTOMOTIVE MEXICO LIGHTNING,97,-36.52577319587629,0.0005516944213513249
SAMRAT EXPORTS,73,-36.23287671232877,0.00041519270885202796
INTEGRATED MICRO ELECTRONICS MEXICO,68,-36.19117647058823,0.00038675485208134114
POLYPLEX CORPORATION LTD,197,-35.41624365482234,0.001120451556765062
TRANSTRADE CZ S.R.O.,65,-35.30769230769231,0.00036969213801892905
"EKK EAGLE INDUSTRY CO.,LTD.",51,-34.76470588235294,0.00029006613906100583
ZHEJIANG XINGXING REFRIGERATION CO.,132,-34.5,0.0007507594187461329
"DONGGUAN SHENGKUN FOOTWEAR CO.,LTD",69,-33.6231884057971,0.00039244242343547853
MABE MEXICO S DE RL DE CV,105,-32.857142857142854,0.0005971949921844238
CUTFORM O,55,-32.58181818181818,0.0003128164244775553
"MODELOS YASIRO, S.A. DE C.V.",116,-32.172413793103445,0.0006597582770799348
3L CONSUMER PRODUCTS A/S,64,-31.8125,0.00036400456666479166
GW PLASTICS MEXICANA S DE RL DE CV,66,-31.606060606060606,0.00037537970937306643
FUJII DENKO CO LTD,55,-31.30909090909091,0.0003128164244775553
PLASTIC TEC S A DE C V,185,-30.87027027027027,0.0010522007005154134
SENQCIA CORPORATION,52,-30.71153846153846,0.0002957537104151432
TRUMPF SCHWEIZ AG,89,-30.640449438202246,0.000506193850518226
ANRAVE S. DE P.R. DE R.L.,53,-30.60377358490566,0.0003014412817692806
STAAL & PLAST A/S,56,-30.571428571428573,0.0003185039958316927
HAARSLEV INDUSTRIES A/S,108,-30.35185185185185,0.000614257706246836
CHEMOMETEC A/S,66,-30.242424242424242,0.00037537970937306643
BIKETECH CO LTD,52,-29.98076923076923,0.0002957537104151432
RICHARDSON OILSEED LIMITED,68,-29.220588235294116,0.00038675485208134114
BAOJIA NEW ENERGY MANUFACTURING SDN,59,-28.864406779661017,0.00033556670989410485
FUJIAN PROVINCE HUIAN COUNTY FOREIG,50,-28.82,0.0002843785677068685
TREND TECHNOLOGIES MEXICO,194,-28.716494845360824,0.0011033888427026497
"TRUCK BODY PARTS INDUSTRIAL CO.,LTD",52,-28.653846153846153,0.0002957537104151432
JOHNSON CONTROLS BE OPERATIONS,1238,-28.447495961227787,0.007041213336422064
NEW DYNACAST DE MEXICO,101,-28.386138613861387,0.0005744447067678744
SANMINA-SCI SYSTEMS DE MEXICO,52,-28.384615384615383,0.0002957537104151432
JOY GLOBAL UK,75,-28.293333333333333,0.0004265678515603027
STILL CREEK FOREST PRODUCTS LTD.,50,-28.26,0.0002843785677068685
CREATIVE COMPONENTS PVT. LTD,89,-28.235955056179776,0.000506193850518226
TORAY ADVANCED TEXTILE MEXICO S A,390,-28.17948717948718,0.0022181528281135744
SHAWON GARMENTS PRINTING LTD,60,-28.0,0.0003412542812482422
MAST-JAGERMEISTER SE,50,-27.3,0.0002843785677068685
"GD AFILIATES,S DE RL DE CV",264,-27.227272727272727,0.0015015188374922657
THYSSENKRUPP COMPONENTS DE MEXICO,78,-27.21794871794872,0.0004436305656227148
"SHANGHAI OMNI GEAR CO., LTD.",89,-27.202247191011235,0.000506193850518226
VINA BISQUERTT LTDA.,53,-27.132075471698112,0.0003014412817692806
TRW VEHICLE SAFETY SYSTEMS DE,189,-27.1005291005291,0.0010749509859319629
MARGARITA S LIMES S A DE C V,204,-27.068627450980394,0.0011602645562440233
KUTTERER MAUER AG,98,-27.051020408163264,0.0005573819927054622
ANDREW TELECOMMUNICATIONS DE,54,-27.0,0.000307128853123418
PAKWELL COMPANY LIMITED,105,-26.98095238095238,0.0005971949921844238
PROVEEDORA MEXICANA DE,129,-26.92248062015504,0.0007336967046837207
BLACK & DECKER LIMITED BVBA,66,-26.90909090909091,0.00037537970937306643
EATON INDISTRIES S DE RL DE CV,76,-26.69736842105263,0.0004322554229144401
INDUSTRIAS PLASTICAS MARTIN S A DE,87,-26.67816091954023,0.0004948187078099511
"GERGONNE PLASTICOS INDUSTRIALES, SA",52,-26.576923076923077,0.0002957537104151432
GLORY WHEEL ENTERPRISE CO LTD,59,-26.423728813559322,0.00033556670989410485
QUIN-SEA FISHERIES LIMITED,75,-26.266666666666666,0.0004265678515603027
IWAMET SP ZOO,117,-26.17094017094017,0.0006654458484340722
SILGAN DISPENSING SYSTEMS MEXICO,313,-26.159744408945688,0.0017802098338449966
"SANGO CO., LTD. TAKAOKA PLANT",111,-25.98198198198198,0.0006313204203092481
KRYTON INTERNATIONAL INC,132,-25.924242424242426,0.0007507594187461329
HELLA AUTOMOTIVE MEXICO S A DE C V,211,-25.85781990521327,0.0012000775557229851
TALLERES MECANICOS MONSERRAT,92,-25.83695652173913,0.000523256564580638
SYMRISE S DE R L DE C V,54,-25.75925925925926,0.000307128853123418
ARECO BONDED WAREHOUSE (TBS LOGISTI,54,-25.75925925925926,0.000307128853123418
CORNING SCIENCE MEXICO SA DE CV,75,-25.72,0.0004265678515603027
FASTENER,59,-25.627118644067796,0.00033556670989410485
"HITCHINER, S.A. DE C.V.",78,-25.564102564102566,0.0004436305656227148
CENTRO DE MANUFACTURA EDGEWLL,80,-25.5125,0.00045500570833098954
SOC EXP Y COM VINA MAIPO SPA,127,-25.448818897637796,0.0007223215619754459
HELLA AUTOMOTIVE DE MEXICO,57,-25.385964912280702,0.0003241915671858301
"VITRICA, S.A DE C.V.",102,-25.245098039215687,0.0005801322781220117
FUNDILAG HIERRO S A DE C V,76,-25.157894736842106,0.0004322554229144401
MSA DE MEXICO S A DE C V,53,-25.132075471698112,0.0003014412817692806
DENTAS MADENCILIK SAN. VE TIC. LTD.,54,-25.09259259259259,0.000307128853123418
"DANA EJES S. A DE C,V",63,-25.0,0.0003583169953106543
DALIAN A.L.X TRADING & DEVELOPMENT,53,-24.943396226415093,0.0003014412817692806
SONORA S PLAN S DE RL DE CV,78,-24.871794871794872,0.0004436305656227148
R C ENTERPRISE,162,-24.820987654320987,0.000921386559370254
MUELLER TECHNOPLASTICS DE MEXICO,76,-24.81578947368421,0.0004322554229144401
OLAM AGRO MEXICO S.A. DE C.V.,91,-24.736263736263737,0.0005175689932265007
SEAL ELECTRONICS ASIA LTD.,135,-24.733333333333334,0.0007678221328085449
RUIJIN TOSPO LIGHTING CO LTD,60,-24.65,0.0003412542812482422
CAMERON DE MEXICO SA DE CV,523,-24.630975143403443,0.0029745998182138444
TEKSPAN DE MEXICO SA DE CV,76,-24.61842105263158,0.0004322554229144401
VITESCO TECHNOLOGIES MEXICO S DE RL,56,-24.589285714285715,0.0003185039958316927
AXEL CHRISTIERNSSON AB,73,-24.561643835616437,0.00041519270885202796
CONTITECH MEXICANA S A DE C V,500,-24.514,0.002843785677068685
NHUT MANH,70,-24.5,0.00039812999478961586
"VIBRACOUSTIC DE MEXICO, S.A DE C.V",69,-24.434782608695652,0.00039244242343547853
GENERAL MOTORS DE MEXICO S DE,147,-24.421768707482993,0.0008360729890581934
CONSORCIO INDUSTRIAL MEXICANO DE,210,-24.38095238095238,0.0011943899843688476
SHAPE CORP MEXICO S. DE R.L. DE C.V,75,-24.373333333333335,0.0004265678515603027
CORNING SCIENCE MEXICO S. A. DE C.,66,-24.318181818181817,0.00037537970937306643
LEONI CABLE SA DE CV,147,-24.27891156462585,0.0008360729890581934
PT. DAMAI ABADI,76,-24.263157894736842,0.0004322554229144401
JOHNSON CONTROLS BE MANUFACTUR,74,-24.18918918918919,0.0004208802802061654
EXISTENCE,50,-24.16,0.0002843785677068685
DUC NHAN SERVICE TRADE PRODUCTION C,59,-24.135593220338983,0.00033556670989410485
SUMIDA COMPONENTS DE MEXICO,257,-24.124513618677042,0.001461705838013304
SIEMENS S A DE C V,438,-24.102739726027398,0.002491156253112168
SOCIEDAD COOPERATIVA DE VENTA EN,183,-24.098360655737704,0.0010408255578071388
DELPHI DELCO ELECTRONICS DE MEXICO,74,-24.013513513513512,0.0004208802802061654
BENCHMARK ELECTRONICS DE MEXICO S,109,-24.009174311926607,0.0006199452776009732
EJOT ATF FASTENERS DE MEXICO,160,-23.975,0.0009100114166619791
TDC CUTTING TOOLS INC,57,-23.894736842105264,0.0003241915671858301
RICHARDSON OILSEED PRODUCTS LIMITED,171,-23.894736842105264,0.0009725747015574902
EMPACADORA SAN MARCOS S A DE C V,51,-23.823529411764707,0.00029006613906100583
LAYFIELD CANADA LTD,56,-23.785714285714285,0.0003185039958316927
CLARIANT PLASTICS AND COATINGS,137,-23.773722627737225,0.0007791972755168197
SEKISUI S LEC MEXICO SA DE CV,71,-23.732394366197184,0.00040381756614375324
"FLEXITECH AUTOMOTIVE MEXICO, S. DE",181,-23.607734806629836,0.001029450415098864
ZF POWERTRAIN MODULES SALTILLO SA,61,-23.557377049180328,0.00034694185260237956
"DALIAN J.SMART HANDICRAFT CO.,LTD",56,-23.553571428571427,0.0003185039958316927
ASSOCIATED SPRING ASIA PTE LTD,58,-23.5,0.0003298791385399674
"HUF MEXICO, S. DE R.L. DE C.V.",65,-23.476923076923075,0.00036969213801892905
