type_of_service,actual_year_month,actual_year,actual_month,count,row_num
House to House,2018-01,2018,1,929014,1
Container Yard,2018-01,2018,1,563851,2
Pier to Pier,2018-01,2018,1,378553,3
Pier to House,2018-01,2018,1,75274,4
Container Station,2018-01,2018,1,42408,5
Break Bulk,2018-01,2018,1,27703,6
House to Pier,2018-01,2018,1,23635,7
Non Containerized,2018-01,2018,1,2891,8
Roll on Roll Off,2018-01,2018,1,211,9
Headload or Devanning,2018-01,2018,1,116,10
House to House,2018-02,2018,2,966187,1
Container Yard,2018-02,2018,2,573297,2
Pier to Pier,2018-02,2018,2,374945,3
Pier to House,2018-02,2018,2,74521,4
Container Station,2018-02,2018,2,42459,5
House to Pier,2018-02,2018,2,27790,6
Break Bulk,2018-02,2018,2,26778,7
Non Containerized,2018-02,2018,2,2982,8
Roll on Roll Off,2018-02,2018,2,476,9
Headload or Devanning,2018-02,2018,2,76,10
House to House,2018-03,2018,3,920105,1
Container Yard,2018-03,2018,3,529244,2
Pier to Pier,2018-03,2018,3,372587,3
Pier to House,2018-03,2018,3,74843,4
Container Station,2018-03,2018,3,40212,5
House to Pier,2018-03,2018,3,29539,6
Break Bulk,2018-03,2018,3,23672,7
Non Containerized,2018-03,2018,3,3657,8
Roll on Roll Off,2018-03,2018,3,512,9
Mixed Delivery,2018-03,2018,3,64,10
House to House,2018-04,2018,4,974801,1
Container Yard,2018-04,2018,4,574039,2
Pier to Pier,2018-04,2018,4,389433,3
Pier to House,2018-04,2018,4,84417,4
Container Station,2018-04,2018,4,42408,5
House to Pier,2018-04,2018,4,33540,6
Break Bulk,2018-04,2018,4,26183,7
Non Containerized,2018-04,2018,4,3793,8
Roll on Roll Off,2018-04,2018,4,268,9
Mixed Delivery,2018-04,2018,4,158,10
House to House,2018-05,2018,5,1135880,1
Container Yard,2018-05,2018,5,725097,2
Pier to Pier,2018-05,2018,5,474632,3
Pier to House,2018-05,2018,5,111317,4
Container Station,2018-05,2018,5,49759,5
House to Pier,2018-05,2018,5,36134,6
Break Bulk,2018-05,2018,5,28366,7
Non Containerized,2018-05,2018,5,4446,8
Roll on Roll Off,2018-05,2018,5,595,9
Headload or Devanning,2018-05,2018,5,72,10
House to House,2018-06,2018,6,1154052,1
Container Yard,2018-06,2018,6,756617,2
Pier to Pier,2018-06,2018,6,467279,3
Pier to House,2018-06,2018,6,102919,4
Container Station,2018-06,2018,6,52950,5
House to Pier,2018-06,2018,6,34111,6
Break Bulk,2018-06,2018,6,24836,7
Non Containerized,2018-06,2018,6,3948,8
Roll on Roll Off,2018-06,2018,6,504,9
Mixed Delivery,2018-06,2018,6,72,10
House to House,2018-07,2018,7,1068466,1
Container Yard,2018-07,2018,7,774948,2
Pier to Pier,2018-07,2018,7,443831,3
Pier to House,2018-07,2018,7,104281,4
Container Station,2018-07,2018,7,63698,5
House to Pier,2018-07,2018,7,34311,6
Break Bulk,2018-07,2018,7,29294,7
Non Containerized,2018-07,2018,7,3921,8
Roll on Roll Off,2018-07,2018,7,375,9
Headload or Devanning,2018-07,2018,7,135,10
House to House,2018-08,2018,8,1006916,1
Container Yard,2018-08,2018,8,783652,2
Pier to Pier,2018-08,2018,8,417080,3
Pier to House,2018-08,2018,8,99946,4
Container Station,2018-08,2018,8,67318,5
House to Pier,2018-08,2018,8,35289,6
Break Bulk,2018-08,2018,8,31404,7
Non Containerized,2018-08,2018,8,3976,8
Roll on Roll Off,2018-08,2018,8,402,9
Headload or Devanning,2018-08,2018,8,127,10
House to House,2018-09,2018,9,959328,1
Container Yard,2018-09,2018,9,753392,2
Pier to Pier,2018-09,2018,9,459343,3
Pier to House,2018-09,2018,9,95993,4
Container Station,2018-09,2018,9,52374,5
House to Pier,2018-09,2018,9,28063,6
Break Bulk,2018-09,2018,9,27594,7
Non Containerized,2018-09,2018,9,2942,8
Roll on Roll Off,2018-09,2018,9,166,9
Headload or Devanning,2018-09,2018,9,78,10
House to House,2018-10,2018,10,1086382,1
Container Yard,2018-10,2018,10,827320,2
Pier to Pier,2018-10,2018,10,478817,3
Pier to House,2018-10,2018,10,103869,4
Container Station,2018-10,2018,10,56650,5
Break Bulk,2018-10,2018,10,28635,6
House to Pier,2018-10,2018,10,27830,7
Non Containerized,2018-10,2018,10,4648,8
Roll on Roll Off,2018-10,2018,10,249,9
Mixed Delivery,2018-10,2018,10,106,10
House to House,2018-11,2018,11,974471,1
Container Yard,2018-11,2018,11,713724,2
Pier to Pier,2018-11,2018,11,402121,3
Pier to House,2018-11,2018,11,93201,4
Container Station,2018-11,2018,11,54009,5
House to Pier,2018-11,2018,11,25134,6
Break Bulk,2018-11,2018,11,23737,7
Non Containerized,2018-11,2018,11,3733,8
Roll on Roll Off,2018-11,2018,11,421,9
Headload or Devanning,2018-11,2018,11,92,10
House to House,2018-12,2018,12,1008036,1
Container Yard,2018-12,2018,12,713943,2
Pier to Pier,2018-12,2018,12,525470,3
Pier to House,2018-12,2018,12,108846,4
Container Station,2018-12,2018,12,55962,5
Break Bulk,2018-12,2018,12,28727,6
House to Pier,2018-12,2018,12,27992,7
Non Containerized,2018-12,2018,12,3509,8
Roll on Roll Off,2018-12,2018,12,179,9
Headload or Devanning,2018-12,2018,12,145,10
House to House,2019-01,2019,1,1012379,1
Container Yard,2019-01,2019,1,651075,2
Pier to Pier,2019-01,2019,1,507125,3
