shipper_party_name,count,address1,address2,address3,address4,country_code
"ORIENT EXPRESS CONTAINER CO., LTD.",162531,"ROOM 12A01-02, NO. 4018, ANLIAN","PLAZA,JINTIAN ROAD, FUTIAN,","SHENZHEN, CHINA POSTAL CODE:",51802,
WANG ZHANG JIANG,150065,FIRST FLOOR TWO EAST LONGXING SCIE,"SHENZHEN, GUANGDONG",,,
HONOUR LANE SHIPPING LIMITED,126809,"C1, 26/F, FORTUNE BUILDING NO.168 H",FUZHOU FJ 350003,CHINA,,
BEIJING KANG JIE KONG INTERNATIONAL,97340,"NO. 99 XIANG YU RD.UNIT 406,TOWER E",XIAMEN FJ 361000,CHINA,,
HECNY SHIPPING LIMITED,83004,"BLOCK EAST, 43/F, INT'L TRADE","CENTRE BLGD,3002, RENMIN SOUTH","RD.,LUOHU DISTRICT,SHENZHEN CHINA",,21
DE WELL CONTAINER SHIPPING INC.,81762,SHENZHEN BRANCH,"20/C, HANGDOU BLDG., NO.1006 HUAFU","ROAD, FUTIAN DISTRICT, SHENZHEN,",,
TOPOCEAN CONSOLIDATION SERVICE,66164,(CHINA) LTD. SHENZHEN BRANCH C/O,TOPOCEAN CON. SVC (LAX) INC,"A1203-6, AEROSPACE SKYCRAPER, 4019",,26
FOREVER LOGISTICS SHENZHEN CO L,55093,FIRST FLOOR TWO EAST LONGXING SCIE,"SHENZHEN, GUANGDONG",,,
"PANTOS LOGISTICS CO.,LTD.",55046,O B OF LG ELECTRONICS INC,"24, YEOUI-DAERO, YEONGDEUNGPO-GU, S","EOUL 150-709, KOREA, REPUBLIC OF",,
FEDEX INTERNATIONAL FREIGHT,53171,FORWARDING AGENCY SERVICES,"ROOM 906,9TH FLOOR,CHINA LIFE","INSURANCE BUILDING,NO.777,",,
UNION DE BANANEROS ECUATORIANOS S.A,46503,AV.LAS MONJAS #10 Y CARLOS JULIO,"AROSEMENA, KM.2.5,","GUAYAQUIL, ECUADOR",,
HONOUR LANE SHIPPING LTD.,45873,"ROOM 1501,15/F.,TOWER 2,NINA TOWER,","8 YEUNG UK ROAD,TSUEN","WAN,N.T.,HONG KONG",TEL:25441366 FAX:25441869,
SCHAEFFLER TECHNOLOGIES AG & CO. KG,45759,DR.-GEORG-SCHAEFFLER-STRASSE 1,LUCKENWALDE DE,,,
INTERGLOBO NORTH AMERICA INC.,45602,2 COLONY ROAD,JERSEY CITY NJ 07305 UNITED STATES,,,
"SAMSUNG ELECTRONICS CO., LTD",43603,"129, SAMSUNG-RO, YEONGTONG-GU SUWON",16677 GYEONGGI-DO SOUTH KOREA,,,
U.S.UNITED LOGISTICS (NINGBO) INC.,42112,"ADD:20TH FLOOR,3BLDG,NO.1926,","CANGHAI ROAD,SHANGDONG BUSINESS","CENTRE,JIANGDONG DIST",,
SHENZHEN GUANGCHI LOGISTICS CO LT,41656,1F 16BUILDING 5DISTRICT LINGYUN,"YIWU, ZHEJIANG",,,
RS LOGISTICS LIMITED,40871,"FLAT A, 17/F, REASON GROUP TOWER,",NO. 403-413 CASTLE PEAK,"ROAD,KWAI CHUNG, N.T. HONG KONG",T:852-21218096 F:852-21218097,
