type_of_service,actual_year,vessel_country_code,count,row_num,country_name
Break Bulk,2018,PA,55376,1,Panama
Break Bulk,2018,HK,52661,2,Hong Kong
Break Bulk,2018,LR,37341,3,Liberia
Break Bulk,2018,GB,36488,4,United Kingdom
Break Bulk,2018,SG,35850,5,Singapore
Break Bulk,2018,MT,13979,6,Malta
Break Bulk,2018,PT,12916,7,Portugal
Break Bulk,2018,MH,12648,8,Marshall Islands
Break Bulk,2018,DE,11103,9,Germany
Break Bulk,2018,US,10986,10,United States
Break Bulk,2019,PA,46591,1,Panama
Break Bulk,2019,LR,42367,2,Liberia
Break Bulk,2019,HK,40343,3,Hong Kong
Break Bulk,2019,SG,24427,4,Singapore
Break Bulk,2019,DE,19760,5,Germany
Break Bulk,2019,US,18548,6,United States
Break Bulk,2019,GB,16123,7,United Kingdom
Break Bulk,2019,FR,12715,8,France
Break Bulk,2019,MT,12478,9,Malta
Break Bulk,2019,PT,9497,10,Portugal
Break Bulk,2020,PA,42844,1,Panama
Break Bulk,2020,HK,33779,2,Hong Kong
Break Bulk,2020,LR,30329,3,Liberia
Break Bulk,2020,DE,23101,4,Germany
Break Bulk,2020,SG,15148,5,Singapore
Break Bulk,2020,US,12760,6,United States
Break Bulk,2020,MT,11926,7,Malta
Break Bulk,2020,GB,8746,8,United Kingdom
Break Bulk,2020,JP,7583,9,Japan
Break Bulk,2020,MH,7542,10,Marshall Islands
Container Station,2018,LR,104003,1,Liberia
Container Station,2018,PA,93385,2,Panama
Container Station,2018,HK,84245,3,Hong Kong
Container Station,2018,SG,80587,4,Singapore
Container Station,2018,US,52204,5,United States
Container Station,2018,GB,42820,6,United Kingdom
Container Station,2018,DK,29418,7,Denmark
Container Station,2018,MT,28375,8,Malta
Container Station,2018,MH,20108,9,Marshall Islands
Container Station,2018,DE,18731,10,Germany
Container Station,2019,HK,89974,1,Hong Kong
Container Station,2019,LR,88722,2,Liberia
Container Station,2019,PA,86549,3,Panama
Container Station,2019,SG,85725,4,Singapore
Container Station,2019,US,56671,5,United States
