type_of_service,actual_year,actual_year,actual_year_month,vessel_country_code,count,row_num,country_name
Break Bulk,2018,2018,2018-01,HK,4924,1,Hong Kong
Break Bulk,2018,2018,2018-01,LR,4200,2,Liberia
Break Bulk,2018,2018,2018-01,PA,4010,3,Panama
Break Bulk,2018,2018,2018-01,GB,3819,4,United Kingdom
Break Bulk,2018,2018,2018-01,SG,2469,5,Singapore
Break Bulk,2018,2018,2018-01,MH,1472,6,Marshall Islands
Break Bulk,2018,2018,2018-01,US,1161,7,United States
Break Bulk,2018,2018,2018-01,MT,1096,8,Malta
Break Bulk,2018,2018,2018-01,PT,922,9,Portugal
Break Bulk,2018,2018,2018-01,DK,545,10,Denmark
Break Bulk,2018,2018,2018-02,PA,4640,1,Panama
Break Bulk,2018,2018,2018-02,SG,4160,2,Singapore
Break Bulk,2018,2018,2018-02,LR,4029,3,Liberia
Break Bulk,2018,2018,2018-02,HK,2933,4,Hong Kong
Break Bulk,2018,2018,2018-02,GB,2658,5,United Kingdom
Break Bulk,2018,2018,2018-02,US,1053,6,United States
Break Bulk,2018,2018,2018-02,DK,955,7,Denmark
Break Bulk,2018,2018,2018-02,MH,937,8,Marshall Islands
Break Bulk,2018,2018,2018-02,GR,772,9,Greece
Break Bulk,2018,2018,2018-02,PT,751,10,Portugal
Break Bulk,2018,2018,2018-03,PA,4382,1,Panama
Break Bulk,2018,2018,2018-03,HK,3604,2,Hong Kong
Break Bulk,2018,2018,2018-03,LR,2596,3,Liberia
Break Bulk,2018,2018,2018-03,SG,2523,4,Singapore
Break Bulk,2018,2018,2018-03,GB,2187,5,United Kingdom
Break Bulk,2018,2018,2018-03,DE,1094,6,Germany
Break Bulk,2018,2018,2018-03,MH,955,7,Marshall Islands
Break Bulk,2018,2018,2018-03,MT,765,8,Malta
Break Bulk,2018,2018,2018-03,PT,763,9,Portugal
Break Bulk,2018,2018,2018-03,US,741,10,United States
Break Bulk,2018,2018,2018-04,PA,4895,1,Panama
Break Bulk,2018,2018,2018-04,HK,3111,2,Hong Kong
Break Bulk,2018,2018,2018-04,GB,2986,3,United Kingdom
Break Bulk,2018,2018,2018-04,LR,2887,4,Liberia
Break Bulk,2018,2018,2018-04,SG,2369,5,Singapore
Break Bulk,2018,2018,2018-04,MT,1714,6,Malta
Break Bulk,2018,2018,2018-04,PT,1123,7,Portugal
Break Bulk,2018,2018,2018-04,CY,1072,8,Cyprus
Break Bulk,2018,2018,2018-04,US,890,9,United States
Break Bulk,2018,2018,2018-04,GR,754,10,Greece
Break Bulk,2018,2018,2018-05,HK,5058,1,Hong Kong
Break Bulk,2018,2018,2018-05,PA,4927,2,Panama
Break Bulk,2018,2018,2018-05,GB,3542,3,United Kingdom
Break Bulk,2018,2018,2018-05,LR,2781,4,Liberia
Break Bulk,2018,2018,2018-05,SG,2585,5,Singapore
Break Bulk,2018,2018,2018-05,MH,1340,6,Marshall Islands
Break Bulk,2018,2018,2018-05,US,1267,7,United States
Break Bulk,2018,2018,2018-05,PT,942,8,Portugal
Break Bulk,2018,2018,2018-05,GR,902,9,Greece
Break Bulk,2018,2018,2018-05,DE,883,10,Germany
Break Bulk,2018,2018,2018-06,PA,4148,1,Panama
Break Bulk,2018,2018,2018-06,HK,4018,2,Hong Kong
Break Bulk,2018,2018,2018-06,SG,2876,3,Singapore
Break Bulk,2018,2018,2018-06,GB,2565,4,United Kingdom
Break Bulk,2018,2018,2018-06,LR,2282,5,Liberia
Break Bulk,2018,2018,2018-06,MH,1215,6,Marshall Islands
Break Bulk,2018,2018,2018-06,US,1156,7,United States
Break Bulk,2018,2018,2018-06,PT,968,8,Portugal
Break Bulk,2018,2018,2018-06,MT,926,9,Malta
Break Bulk,2018,2018,2018-06,DE,803,10,Germany
Break Bulk,2018,2018,2018-07,PA,4920,1,Panama
Break Bulk,2018,2018,2018-07,HK,4605,2,Hong Kong
Break Bulk,2018,2018,2018-07,GB,4214,3,United Kingdom
Break Bulk,2018,2018,2018-07,SG,3200,4,Singapore
Break Bulk,2018,2018,2018-07,LR,2735,5,Liberia
Break Bulk,2018,2018,2018-07,PT,1489,6,Portugal
Break Bulk,2018,2018,2018-07,DE,1395,7,Germany
Break Bulk,2018,2018,2018-07,US,965,8,United States
Break Bulk,2018,2018,2018-07,MH,828,9,Marshall Islands
Break Bulk,2018,2018,2018-07,DK,735,10,Denmark
Break Bulk,2018,2018,2018-08,HK,6645,1,Hong Kong
Break Bulk,2018,2018,2018-08,PA,4381,2,Panama
Break Bulk,2018,2018,2018-08,SG,4184,3,Singapore
Break Bulk,2018,2018,2018-08,LR,3112,4,Liberia
Break Bulk,2018,2018,2018-08,GB,2573,5,United Kingdom
Break Bulk,2018,2018,2018-08,PT,1740,6,Portugal
Break Bulk,2018,2018,2018-08,DE,1631,7,Germany
Break Bulk,2018,2018,2018-08,MH,1469,8,Marshall Islands
Break Bulk,2018,2018,2018-08,MT,1251,9,Malta
Break Bulk,2018,2018,2018-08,TW,728,10,Taiwan
Break Bulk,2018,2018,2018-09,PA,4806,1,Panama
